id,mssv, lopsh, hocky, namhoc, drl, ghichu
168,9FC490D1XPvAibaEXe/V2dF0qjs8bfJmcAaGrAyd, CNTT2013,2,2013,100, NULL
169,D591D3E3XPvAibaEXe/V2dF0qjs8bYWTsDI1U4NT, CNTT2013,2,2013,57, NULL
170,13C8A472XPvAibaEXe+gsTDvgY5pDqVJGUckrDCP, CNTT2013,2,2013,74, NULL
171,BCC346C2XPvAibaEXe+gsTDvgY5pDhgO3+5ZTm70, CNTT2013,2,2013,86, NULL
172,9EF161A4XPvAibaEXe+gsTDvgY5pDiTxGuafuV/2, CNTT2013,2,2013,91, NULL
173,2596E527XPvAibaEXe/6muSCAeQUCyTil5BFx9yM, CNTT2013,2,2013,44, NULL
174,EC288A3AXPvAibaEXe/6muSCAeQUC0/HYwqGRTEN, CNTT2013,2,2013,82, NULL
175,7059F0A4XPvAibaEXe+NmgQbVGcjJ+PCMVuB1N+7, CNTT2013,2,2013,54, NULL
176,A20F7E4AXPvAibaEXe9JdUmjPcaT8iHevy7upJJ3, CNTT2013,2,2013,87, NULL
177,ADD48CD4XPvAibaEXe9JdUmjPcaT8i3gfZUAKb+o, CNTT2013,2,2013,91, NULL
178,78F015A2XPvAibaEXe9VICkMSMM7n3vFKiFwxlkP, CNTT2013,2,2013,86, NULL
179,93AAB5EDXPvAibaEXe9VICkMSMM7n6VXqZd9oFC3, CNTT2013,2,2013,78, NULL
180,B51C8C34XPvAibaEXe8k9aD0YXzUPvhc8ATcqnY3, CNTT2013,2,2013,69, NULL
181,CD320653XPvAibaEXe//3t8+us0X0ohnYfMw6aMh, CNTT2013,2,2013,74, NULL
182,12C24162XPvAibaEXe9Xnw4t0GPgx9K2sCLXkxKl, CNTT2013,2,2013,94, NULL
238,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8, CTTT2013,2,2013,17, NULL
239,91C557BBXPvAibaEXe9X5bpEKoa0mhzvi3xnxIFE, CTTT2013,2,2013,64, NULL
240,7259E977XPvAibaEXe86736b6Ol+/PreEMY8ftS4, CTTT2013,2,2013,100, NULL
241,FFDFD671XPvAibaEXe8/3iNqySORb8gPuwsQ8fwa, CTTT2013,2,2013,70, NULL
242,DEA3783EXPvAibaEXe+yU1j0ocViqZOr0fWYBAOj, CTTT2013,2,2013,98, NULL
243,08890FF6XPvAibaEXe+wmtNhlfgIwlWvQAJnsgPn, CTTT2013,2,2013,69, NULL
244,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu, CTTT2013,2,2013,87, NULL
